Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Data,Motivo,Resolvido ? ,Como ?
3751,Alto-Falante iPhone 5S/SE,Manutenção Alto Falante,M. iPhone 5S,"200,00",5,8.0,DIVERGENTE,2025-07-17,Somente o codigo 5260691 esta correto ! Remover atrelar os codigos que constam no sistema e gerar + 3 codigos novos,,
23941,Câmera Frontal e Sensor para iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"400,00",3,2.0,DIVERGENTE,2025-07-17,não encontrei 1 unidade (COD:7505683),Sim,
23285,Bateria de iPhone XR,Manutenção Bateria,M. iPhone XR,"600,00",4,3.0,DIVERGENTE,2025-07-17,Não encontrei 1 unidade (COD:11183953),Sim,
23982,Tampa de vidro com lente traseira para iPhone X Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone X,"500,00",2,1.0,DIVERGENTE,2025-07-17,Não encontrei 1 unidade (COD:05537778),Sim,
23950,Flex de Conector de Carga para iPhone XS Cinza,Manutenção Conector,M. iPhone XS,"400,00",1,,DIVERGENTE,2025-07-17,não encontrei 1 unidade (COD: 4027009),Sim,
25160,Bateria de iPhone SE 2,Manutenção Bateria,M. iPhone SE 2,"400,00",5,4.0,DIVERGENTE,2025-07-17,Não encontrei 1 unidade (8497937),Sim,
23905,Câmera Frontal e Sensor para iPhone 6S Plus,Manutenção Câmera,M. iPhone 6S Plus,"200,00",2,1.0,DIVERGENTE,2025-07-17,não encontrei 1 unidade (7715862),Sim,
8157,Bateria de iPhone 6S Plus,Manutenção Bateria,M. iPhone 6S Plus,"300,00",2,1.0,DIVERGENTE,2025-07-17,não encontrei 1 unidade (6183982) ,Sim,
24430,Aro com carcaça metálica para iPhone 8 - Dourado,Manutenção Carcaça/Vidro Traseiro,M. iPhone 8,"400,00",2,1.0,DIVERGENTE,2025-07-17,não encontrei 1 unidade (5537692) ,Sim,
24136,Flex do conector de carga para iPhone SE - Branco,Manutenção Conector,M. iPhone SE,"200,00",2,1.0,DIVERGENTE,2025-07-17,não encontrei 1 unidade (5261084),Sim,"achei apenas 1 unidade solta sem codigo atrelado , atrelei o codigo de 1 e não achei a outra "
24401,Vidro e touchscreen com LCD iPhone 8/SE 2 - Preto,Manutenção LCD/ Touch,M. iPhone 8,"600,00",2,1.0,DIVERGENTE,2025-07-17,não encontrei 1 unidade (11180099) ,Sim,
23988,Flex de Conector de Carga para iPhone 8 Plus Preto,Manutenção Conector,M. iPhone 8 Plus,"300,00",3,2.0,DIVERGENTE,2025-07-17,não encontrei 1 unidade (08500522) ,Sim,
24104,Vidro e touchscreen com LCD iPhone 6 - Branco,Manutenção LCD/ Touch,M. iPhone 6,"250,00",4,3.0,DIVERGENTE,2025-07-17,não encontrei 1 unidade (07604639),Sim,
26132,Flex sensor face ID - iPhone 13 Pro Max,Manutenção Flex do Sensor,M. iPhone 13 Pro Max,"800,00",2,1.0,DIVERGENTE,2025-07-17,não encontrei 1 unidade (010412286),Sim,
23904,Câmera Traseira para iPhone 6S Plus,Manutenção Câmera,M. iPhone 6S Plus,"200,00",1,,DIVERGENTE,2025-07-17,não encontrei (5535824) ,Sim,
23974,Tampa de vidro com lente traseira para iPhone X Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone X,"500,00",2,,DIVERGENTE,2025-07-17,não encontrei ,Sim,
24004,Aro com carcaça metalica para iPhone X Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone X,"700,00",1,,DIVERGENTE,2025-07-17,não encontrei ,Sim,
24124,Antena Wi-Fi para iPhone X,Manutenção Wi-Fi,M. iPhone X,"400,00",1,,DIVERGENTE,2025-07-17,não encontrei ,Sim,
21307,Flex Home iPhone 7 Plus - Preto,Manutenção Flex do Home,M. iPhone 7 Plus,"350,00",2,,DIVERGENTE,2025-07-17,Não encontrei ,Sim,
3555,Flex Home iPhone 5S/SE - Prata,Manutenção Flex do Home,M. iPhone 5S,"150,00",1,,DIVERGENTE,2025-07-17,não encontrei ,Sim,
26209,Tampa traseira de vidro para iPhone 14 Plus - Meia-noite,Manutenção Carcaça/Vidro Traseiro,M. iPhone 14 Plus,"1.000,00",1,,DIVERGENTE,2025-07-17,não encontrei ,Sim,
23901,Tampa de vidro com lente traseira para iPhone 11 Pro Max Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone 11 Pro Max,"800,00",3,4.0,DIVERGENTE,2025-07-17,gerar um novo codigo (10410542),Sim,
24387,Bateria de iPhone 11,Manutenção Bateria,M. iPhone 11,"790,00",4,3.0,DIVERGENTE,2025-07-17,Falta - 8499188,Sim,
26947,Bateria de iPhone 11 - Sem Flex,Manutenção Bateria,M. iPhone 11,"790,00",4,3.0,DIVERGENTE,2025-07-17,falta - 11180566,Sim,
24579,Bateria de iPhone 11 Pro Max,Manutenção Bateria,M. iPhone 11 Pro Max,"790,00",3,2.0,DIVERGENTE,2025-07-17,falta - 10411979,Sim,
26955,Bateria de iPhone 13 Pro Max - Sem Flex,Manutenção Bateria,M. iPhone 13 Pro Max,"790,00",2,3.0,DIVERGENTE,2025-07-17,"Codigo vendido 11181887 , gerar um novo codigo ",,
25493,Conector de Carga iPhone 13 Pro - Preto,Manutenção Conector,M. iPhone 13 Pro,"800,00",1,2.0,DIVERGENTE,2025-07-17,"Codigo não consta no estoque , fazer envio  10405991 ",Sim,
