Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Data,Motivo,Resolvido ? ,Como ?
23286,Bateria de iPhone XS Max,Manutenção Bateria,M. iPhone XS Max,"790,00",2,2,Ok,2025-07-31,,,
23918,Vidro e touchscreen com LCD iPhone XS Max - Preto,Manutenção LCD/ Touch,M. iPhone XS Max,"1.200,00",2,2,Ok,2025-07-31,,,
23934,Flex de Conector de Carga para iPhone XS Max Preto,Manutenção Conector,M. iPhone XS Max,"500,00",2,2,Ok,2025-07-31,,,
23941,Câmera Frontal e Sensor para iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"400,00",2,2,Ok,2025-07-31,,,
23942,Câmera Traseira para iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"600,00",2,2,Ok,2025-07-31,,,
23944,Tampa de vidro com lente traseira para iPhone XS Max - Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"500,00",2,2,Ok,2025-07-31,,,
23946,Tampa de vidro com lente traseira para iPhone XS Max - Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"500,00",2,2,Ok,2025-07-31,,,
24590,Flex de Conector de Carga para iPhone XS Max Cinza,Manutenção Conector,M. iPhone XS Max,"500,00",2,2,Ok,2025-07-31,,,
23931,Flex da função power para iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"500,00",1,1,Ok,2025-07-31,,,
23939,Alto-falante Caixa de som para iPhone XS Max,Manutenção Speaker,M. iPhone XS Max,"300,00",1,1,Ok,2025-07-31,,,
24022,Aro com carcaça metalica para iPhone XS Max - Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"900,00",1,1,Ok,2025-07-31,,,
24117,Tampa de vidro com lente traseira para iPhone XS Max - Dourado,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"500,00",1,1,Ok,2025-07-31,,,
24142,Vidro da câmera traseira para iPhone XS Max Dourado,Manutenção Câmera,M. iPhone XS Max,"250,00",1,1,Ok,2025-07-31,,,
25370,Flex Sensor / Alto falante - iPhone XS Max,Manutenção Flex do Sensor,M. iPhone XS Max,"500,00",1,1,Ok,2025-07-31,,,
26945,Bateria de iPhone XS Max - Sem Flex,Manutenção Bateria,M. iPhone XS Max,"790,00",1,1,Ok,2025-07-31,,,
23590,Vidro e touchscreen com LCD iPhone XS - Preto,Manutenção LCD/ Touch,M. iPhone XS,"1.200,00",3,3,Ok,2025-07-31,,,
23284,Bateria de iPhone XS,Manutenção Bateria,M. iPhone XS,"600,00",2,2,Ok,2025-07-31,,,
23951,Flex de Conector de Carga para iPhone XS Preto,Manutenção Conector,M. iPhone XS,"400,00",2,2,Ok,2025-07-31,,,
23956,Câmera Traseira para iPhone XS,Manutenção Câmera,M. iPhone XS,"600,00",2,2,Ok,2025-07-31,,,
23950,Flex de Conector de Carga para iPhone XS Cinza,Manutenção Conector,M. iPhone XS,"400,00",1,1,Ok,2025-07-31,,,
24445,Lente de Vidro da Câmera traseira para iPhone XS - Prata,Manutenção Câmera,M. iPhone XS,"200,00",1,1,Ok,2025-07-31,,,
26944,Bateria de iPhone XS - Sem Flex,Manutenção Bateria,M. iPhone XS,"600,00",1,1,Ok,2025-07-31,,,
25104,Lente de Vidro da Câmera iPhone XR - Avulsa,Manutenção Câmera,M. iPhone XR,"250,00",5,5,Ok,2025-07-31,,,
23285,Bateria de iPhone XR,Manutenção Bateria,M. iPhone XR,"600,00",4,4,Ok,2025-07-31,,,
24344,Conector de carga para iPhone XR Preto,Manutenção Conector,M. iPhone XR,"500,00",3,3,Ok,2025-07-31,,,
23986,Flex da função power para iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"0,00",2,1,DIVERGENTE,2025-07-31,04026811 - não encontrei ,Sim,Peça não encontrada fisicamente removi o codigo do sistema 
23992,Flex motor vibra - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"300,00",2,2,Ok,2025-07-31,,,
23997,Câmera Frontal e Sensor para iPhone XR,Manutenção Câmera,M. iPhone XR,"400,00",2,2,Ok,2025-07-31,,,
24110,Vidro e touchscreen com LCD iPhone XR - Preto,Manutenção LCD/ Touch,M. iPhone XR,"1.000,00",2,2,Ok,2025-07-31,,,
23003,Tampa Traseira iPhone XR - Coral,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"600,00",1,1,Ok,2025-07-31,,,
23004,Tampa Traseira iPhone XR - Azul,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"600,00",1,1,Ok,2025-07-31,,,
23990,Tampa de vidro com lente traseira para iPhone XR Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"600,00",1,1,Ok,2025-07-31,,,
23994,Tampa de vidro com lente traseira para iPhone XR Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"600,00",1,1,Ok,2025-07-31,,,
23995,Câmera Traseira para iPhone XR,Manutenção Câmera,M. iPhone XR,"500,00",1,1,Ok,2025-07-31,,,
24008,Aro com carcaça metalica para iPhone XR Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"800,00",1,1,Ok,2025-07-31,,,
24123,Tampa de vidro com lente traseira para iPhone XR - Vermelho,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"600,00",1,1,Ok,2025-07-31,,,
24125,Tampa de vidro com lente traseira para iPhone XR - Amarelo,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"600,00",1,1,Ok,2025-07-31,,,
24140,Flex conector de carga para iPhone XR Branco,Manutenção Conector,M. iPhone XR,"500,00",1,1,Ok,2025-07-31,,,
26946,Bateria de iPhone XR - Sem Flex,Manutenção Bateria,M. iPhone XR,"600,00",1,1,Ok,2025-07-31,,,
21905,Câmera Traseira - iPhone X,Manutenção Câmera,M. iPhone X,"500,00",3,3,Ok,2025-07-31,,,
26056,Lente de vidro da câmera traseira para iPhone X - Avulsa,Manutenção Câmera,M. iPhone X,"200,00",3,3,Ok,2025-07-31,,,
22756,Bateria de iPhone X,Manutenção Bateria,M. iPhone X,"600,00",2,2,Ok,2025-07-31,,,
