Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Data,Motivo,Resolvido ? ,Como ?
23918,Vidro e touchscreen com LCD iPhone XS Max - Preto,Manutenção LCD/ Touch,M. iPhone XS Max,"800,00",3,3,OK,2025-08-14,,,
398,Tampa Traseiro iPhone 4 - Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone 4,"50,00",3,3,OK,2025-08-14,,,
23590,Vidro e touchscreen com LCD iPhone XS - Preto,Manutenção LCD/ Touch,M. iPhone XS,"600,00",2,2,OK,2025-08-14,,,
24110,Vidro e touchscreen com LCD iPhone XR - Preto,Manutenção LCD/ Touch,M. iPhone XR,"700,00",2,2,OK,2025-08-14,,,
23018,Lente de Vidro da Câmera iPhone XS Max - Prata,Manutenção Câmera,M. iPhone XS Max,"250,00",3,3,OK,2025-08-14,,,
23019,Lente de Vidro da Câmera iPhone XS Max - Dourado,Manutenção Câmera,M. iPhone XS Max,"0,00",3,3,OK,2025-08-14,,,
23020,Lente de Vidro da Câmera iPhone XS Max - Preto,Manutenção Câmera,M. iPhone XS Max,"250,00",3,3,OK,2025-08-14,,,
23217,Câmera Traseira - iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"0,00",2,2,OK,2025-08-14,,,
1049,Tampa Traseiro iPhone 4 - Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone 4,"50,00",5,5,OK,2025-08-14,,,
23218,Câmera Frontal - iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"0,00",4,4,OK,2025-08-14,,,
23915,Vidro e touchscreen com LCD iPhone X - Preto,Manutenção LCD/ Touch,M. iPhone X,"600,00",3,3,OK,2025-08-14,,,
24101,Vidro e touchscreen com LCD iPhone SE - Branco ,Manutenção LCD/ Touch,M. iPhone SE,"400,00",2,2,OK,2025-08-14,,,
24102,Vidro e touchscreen com LCD iPhone SE - Preto ,Manutenção LCD/ Touch,M. iPhone SE,"400,00",2,2,OK,2025-08-14,,,
1363,Tampa Traseiro iPhone 4s - Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone 4S,"50,00",2,2,OK,2025-08-14,,,
23271,Conector de Carga iPhone XS Max - Cinza,Manutenção Conector,M. iPhone XS Max,"0,00",2,2,OK,2025-08-14,,,
23461,Alto falante - iPhone XS Max,Manutenção Alto Falante,M. iPhone XS Max,"0,00",3,3,OK,2025-08-14,,,
24108,Vidro e touchscreen com LCD iPhone 8 Plus - Branco,Manutenção LCD/ Touch,M. iPhone 8 Plus,"500,00",7,7,OK,2025-08-14,,,
24109,Vidro e touchscreen com LCD iPhone 8 Plus - Preto,Manutenção LCD/ Touch,M. iPhone 8 Plus,"500,00",4,4,OK,2025-08-14,,,
23817,Speaker - iPhone XS Max,Manutenção Speaker,M. iPhone XS Max,"300,00",1,1,OK,2025-08-14,,,
23910,Vidro e touchscreen com LCD iPhone 8 - Branco,Manutenção LCD/ Touch,M. iPhone 8,"350,00",4,4,OK,2025-08-14,,,
23818,Motor do Vibra - iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"0,00",1,1,OK,2025-08-14,,,
23819,Conector de Carga iPhone XS Max - Preto,Manutenção Conector,M. iPhone XS Max,"0,00",1,1,OK,2025-08-14,,,
23821,Antena de Sinal  - iPhone XS Max,Manutenção Antena de Sinal,M. iPhone XS Max,"0,00",1,1,OK,2025-08-14,,,
23930,Antena Wi-Fi para iPhone XS Max,Manutenção Wi-Fi,M. iPhone XS Max,"400,00",3,3,OK,2025-08-14,,,
23931,Flex da função power para iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"400,00",1,1,OK,2025-08-14,,,
23932,Flex da função de ajuste de volume para iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"300,00",1,1,OK,2025-08-14,,,
24401,Vidro e touchscreen com LCD iPhone 8/SE 2 - Preto,Manutenção LCD/ Touch,M. iPhone 8,"500,00",3,3,OK,2025-08-14,,,
23897,Vidro e touchscreen com LCD iPhone 7 Plus - Preto,Manutenção LCD/ Touch,M. iPhone 7 Plus,"350,00",4,3,DIVERGENTE,2025-08-14,4026117,Sim,
23942,Câmera Traseira para iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"400,00",1,1,OK,2025-08-14,,,
2646,Carcaça iPhone 5 - Prata,Manutenção Carcaça/Vidro Traseiro,M. iPhone 5,"100,00",3,3,OK,2025-08-14,,,
2693,Carcaça iPhone 5 - Chumbo,Manutenção Carcaça/Vidro Traseiro,M. iPhone 5,"100,00",2,2,OK,2025-08-14,,,
24036,Flex sensor/ alto falante - iPhone XS Max,Manutenção Alto Falante,M. iPhone XS Max,"0,00",1,1,OK,2025-08-14,,,
23010,Lente de Vidro da Câmera iPhone XS - Prata,Manutenção Câmera,M. iPhone XS,"0,00",3,3,OK,2025-08-14,,,
