Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Data,Motivo,Resolvido ? ,Como ?
22870,Tampa Traseira iPhone XS Max - Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"0,00",2,2,OK,2025-08-15,,,
23005,Tampa Traseira iPhone XS Max - Branca,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"400,00",2,2,OK,2025-08-15,,,
23018,Lente de Vidro da Câmera iPhone XS Max - Prata,Manutenção Câmera,M. iPhone XS Max,"250,00",2,2,OK,2025-08-15,,,
23019,Lente de Vidro da Câmera iPhone XS Max - Dourado,Manutenção Câmera,M. iPhone XS Max,"0,00",3,3,OK,2025-08-15,,,
23020,Lente de Vidro da Câmera iPhone XS Max - Preto,Manutenção Câmera,M. iPhone XS Max,"250,00",3,3,OK,2025-08-15,,,
23217,Câmera Traseira - iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"0,00",2,2,OK,2025-08-15,,,
23218,Câmera Frontal - iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"0,00",2,2,OK,2025-08-15,,,
23271,Conector de Carga iPhone XS Max - Cinza,Manutenção Conector,M. iPhone XS Max,"0,00",1,1,OK,2025-08-15,,,
23286,Bateria de iPhone XS Max,Manutenção Bateria,M. iPhone XS Max,"500,00",2,2,OK,2025-08-15,,,
23461,Alto falante - iPhone XS Max,Manutenção Alto Falante,M. iPhone XS Max,"0,00",2,2,OK,2025-08-15,,,
23817,Speaker - iPhone XS Max,Manutenção Speaker,M. iPhone XS Max,"300,00",1,1,OK,2025-08-15,,,
23818,Motor do Vibra - iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"0,00",1,1,OK,2025-08-15,,,
23821,Antena de Sinal  - iPhone XS Max,Manutenção Antena de Sinal,M. iPhone XS Max,"0,00",1,1,OK,2025-08-15,,,
23918,Vidro e touchscreen com LCD iPhone XS Max - Preto,Manutenção LCD/ Touch,M. iPhone XS Max,"800,00",3,3,OK,2025-08-15,,,
23930,Antena Wi-Fi para iPhone XS Max,Manutenção Wi-Fi,M. iPhone XS Max,"400,00",2,2,OK,2025-08-15,,,
23931,Flex da função power para iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"400,00",2,2,OK,2025-08-15,,,
23932,Flex da função de ajuste de volume para iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"300,00",2,2,OK,2025-08-15,,,
23934,Flex de Conector de Carga para iPhone XS Max Preto,Manutenção Conector,M. iPhone XS Max,"400,00",5,5,OK,2025-08-15,,,
24021,Aro com carcaça metalica para iPhone XS Max - Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"500,00",1,1,OK,2025-08-15,,,
24022,Aro com carcaça metalica para iPhone XS Max - Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"500,00",1,1,OK,2025-08-15,,,
24024,Aro com carcaça metalica para iPhone XS Max - Dourado,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"500,00",1,1,OK,2025-08-15,,,
24117,Tampa de vidro com lente traseira para iPhone XS Max - Dourado,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"400,00",3,3,OK,2025-08-15,"não trabalha com tampa do Xs , levar de volta ao estoque ",,
25370,Flex Sensor / Alto falante - iPhone XS Max,Manutenção Flex do Sensor,M. iPhone XS Max,"400,00",1,1,OK,2025-08-15,,,
26945,Bateria de iPhone XS Max - Sem Flex,Manutenção Bateria,M. iPhone XS Max,"500,00",2,2,OK,2025-08-15,,,
23006,Tampa Traseira iPhone XS - Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS,"400,00",2,2,OK,2025-08-15,"não trabalha com tampa do Xs , levar de volta ao estoque ",,
23007,Tampa Traseira iPhone XS - Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS,"400,00",2,2,OK,2025-08-15,"não trabalha com tampa do Xs , levar de volta ao estoque ",,
23008,Tampa Traseira iPhone XS - Dourado,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS,"400,00",3,3,OK,2025-08-15,"não trabalha com tampa do Xs , levar de volta ao estoque ",,
23010,Lente de Vidro da Câmera iPhone XS - Prata,Manutenção Câmera,M. iPhone XS,"0,00",2,2,OK,2025-08-15,,,
23011,Lente de Vidro da Câmera iPhone XS - Preto,Manutenção Câmera,M. iPhone XS,"200,00",2,2,OK,2025-08-15,,,
23012,Lente de Vidro da Câmera iPhone XS - Dourado,Manutenção Câmera,M. iPhone XS,"0,00",2,2,OK,2025-08-15,,,
23267,Conector de Carga iPhone XS - Cinza,Manutenção Conector,M. iPhone XS,"0,00",3,3,OK,2025-08-15,,,
